"id","age","sex","race","hispanic","region","educ","paeduc","maeduc","relig","happy","income","polviews","partyid","grass","commute","wrkstat","wrkslf","wrkgovt","marital","confinan","conclerg","coneduc","conpress","conjudge","consci","conlegis","conarmy","joblose","jobfind","satjob"
150,"30","MALE","WHITE","NOT HISPANIC","PACIFIC","16","18","18","NONE","PRETTY HAPPY","$25000 OR MORE","LIBERAL","IND,NEAR DEM",NA,NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
151,"39","MALE","WHITE","NOT HISPANIC","PACIFIC","18","20","17","PROTESTANT","PRETTY HAPPY","REFUSED","LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
152,"37","FEMALE","WHITE","NOT HISPANIC","PACIFIC","15","14","14","NONE","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","FAIRLY LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
153,"52","FEMALE","OTHER","NOT HISPANIC","PACIFIC","12","DK","DK","CATHOLIC","VERY HAPPY","REFUSED",NA,"INDEPENDENT","DK",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
154,"61","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","18","12","12","CATHOLIC","NOT TOO HAPPY","$15000 - 19999","LIBERAL","NOT STR DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY","VERY DISSATISFIED"
155,"58","MALE","WHITE","NOT HISPANIC","PACIFIC","12","12","12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"MOD. SATISFIED"
156,"31","MALE","WHITE","Argentinian","PACIFIC","14","16","14","CATHOLIC","VERY HAPPY","$5000 TO 5999","MODERATE","NOT STR DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
157,"52","FEMALE","OTHER","NOT HISPANIC","PACIFIC","16","8","0","BUDDHISM","PRETTY HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT","NOT LEGAL",NA,"WORKING PARTTIME","SELF-EMPLOYED","PRIVATE","MARRIED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
158,"46","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","16","7","2","CATHOLIC","VERY HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT",NA,NA,"KEEPING HOUSE",NA,NA,"MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERY SATISFIED"
159,"25","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","13","6","14","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
160,"54","MALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","12","DK","DK","CATHOLIC","VERY HAPPY","$25000 OR MORE","LIBERAL","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY","VERY SATISFIED"
161,"33","FEMALE","OTHER","NOT HISPANIC","PACIFIC","15","14","12","CATHOLIC","VERY HAPPY","$25000 OR MORE","EXTRMLY CONSERVATIVE","IND,NEAR DEM","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
162,"33","MALE","OTHER","NOT HISPANIC","PACIFIC","18","15","12","HINDUISM","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
163,"61","FEMALE","WHITE","NOT HISPANIC","PACIFIC","12",NA,"6","CATHOLIC","NOT TOO HAPPY","$10000 - 14999","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","NOT LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",NA,NA,"VERY DISSATISFIED"
164,"65","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC",NA,"3","2","CATHOLIC","PRETTY HAPPY","REFUSED","SLGHTLY CONSERVATIVE","STRONG DEMOCRAT",NA,NA,"RETIRED","SOMEONE ELSE","PRIVATE","WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,"53","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","12","4","0","CATHOLIC","NOT TOO HAPPY","DK","CONSERVATIVE","NOT STR DEMOCRAT","DK",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","DK","DK","DK","DK","DK","NOT EASY","VERY SATISFIED"
166,"66","FEMALE","OTHER","NOT HISPANIC","PACIFIC","11","DK","DK","PROTESTANT","NOT TOO HAPPY","DK","EXTRMLY CONSERVATIVE","STRONG DEMOCRAT",NA,NA,"KEEPING HOUSE",NA,NA,"WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"41","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","12","DK","13","NONE","NOT TOO HAPPY","$7000 TO 7999","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"TEMP NOT WORKING","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
168,"57","FEMALE","WHITE","NOT HISPANIC","PACIFIC","13","12","12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM","LEGAL",NA,"KEEPING HOUSE","SELF-EMPLOYED","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY",NA,NA,"A LITTLE DISSAT"
169,"50","MALE","BLACK","NOT HISPANIC","PACIFIC","12","9","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","DK","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
170,"75","MALE","BLACK","NOT HISPANIC","PACIFIC","14","9","DK","NONE","NOT TOO HAPPY","DK","SLGHTLY CONSERVATIVE","STRONG DEMOCRAT","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",NA,NA,NA
171,"22","FEMALE","BLACK","NOT HISPANIC","PACIFIC","11","12","12","NONE","NOT TOO HAPPY","$20000 - 24999","MODERATE","STRONG DEMOCRAT","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","DK","HARDLY ANY","ONLY SOME","NOT TOO LIKELY","DK","VERY DISSATISFIED"
172,"27","MALE","WHITE","NOT HISPANIC","PACIFIC","14","14","16","NONE","PRETTY HAPPY","$15000 - 19999","SLIGHTLY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
173,"20","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","12","12","5","NONE","PRETTY HAPPY","LT $1000","DK","INDEPENDENT","DK",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","SEPARATED","HARDLY ANY","DK","ONLY SOME","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY","NOT LIKELY","NOT EASY","VERY SATISFIED"
174,"55","MALE","WHITE","NOT HISPANIC","PACIFIC","20","16","12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",NA,NA,"MOD. SATISFIED"
175,"49","FEMALE","WHITE","PERUVIAN","PACIFIC","14","14","6","NONE","NOT TOO HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","INDEPENDENT","DK",NA,"TEMP NOT WORKING","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","VERY LIKELY","NOT EASY","MOD. SATISFIED"
176,"51","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","14","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY","VERY SATISFIED"
177,"56","MALE","WHITE","NOT HISPANIC","PACIFIC","16","14","12","CATHOLIC","VERY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","NOT STR DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","SEPARATED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY",NA
178,"41","FEMALE","OTHER","NOT HISPANIC","PACIFIC","18","15","15","INTER-NONDENOMINATIONAL","PRETTY HAPPY","REFUSED","MODERATE","INDEPENDENT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
179,"67","MALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","14","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","DK",NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","DIVORCED","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
180,"38","FEMALE","BLACK","NOT HISPANIC","PACIFIC","12",NA,"12","NONE","PRETTY HAPPY","$10000 - 14999","MODERATE","STRONG DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"VERY LIKELY","NOT EASY",NA
181,"76","FEMALE","OTHER","NOT HISPANIC","PACIFIC","16","12","15","CATHOLIC","NOT TOO HAPPY","$25000 OR MORE","CONSERVATIVE","INDEPENDENT","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","WIDOWED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,NA
182,"66","MALE","BLACK","NOT HISPANIC","PACIFIC","14",NA,"12","NONE","NOT TOO HAPPY","$15000 - 19999","LIBERAL","NOT STR DEMOCRAT",NA,NA,"OTHER","SOMEONE ELSE","GOVERNMENT","DIVORCED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"84","FEMALE","OTHER","NOT HISPANIC","PACIFIC","17","12","12","CATHOLIC","PRETTY HAPPY","$10000 - 14999","EXTRMLY CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,NA
184,"32","MALE","BLACK","NOT HISPANIC","PACIFIC","12",NA,"12","NONE","NOT TOO HAPPY","$8000 TO 9999","EXTRMLY CONSERVATIVE","INDEPENDENT","LEGAL",NA,"KEEPING HOUSE",NA,NA,"NEVER MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY",NA,NA,"MOD. SATISFIED"
185,"46","MALE","BLACK","NOT HISPANIC","PACIFIC","16",NA,"14","PROTESTANT","PRETTY HAPPY","$10000 - 14999","MODERATE","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",NA,NA,"VERY SATISFIED"
186,"25","MALE","OTHER","NOT HISPANIC","PACIFIC","13",NA,"12","NONE","VERY HAPPY","DK","CONSERVATIVE","NOT STR DEMOCRAT","LEGAL",NA,"SCHOOL","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,NA
187,"67","MALE","WHITE","NOT HISPANIC","PACIFIC","18","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","STRONG DEMOCRAT","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,NA
188,"34","MALE","BLACK","NOT HISPANIC","PACIFIC","12","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","EXTREMELY LIBERAL","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
189,"29","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","8","12","6","PROTESTANT","NOT TOO HAPPY","LT $1000","SLGHTLY CONSERVATIVE","INDEPENDENT",NA,NA,"KEEPING HOUSE",NA,NA,"MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,"51","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","1","0","0","CATHOLIC","PRETTY HAPPY","$15000 - 19999","MODERATE","INDEPENDENT","NOT LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY",NA,NA,"MOD. SATISFIED"
191,"39","FEMALE","OTHER","SALVADORIAN","PACIFIC","14","12","12","CATHOLIC","PRETTY HAPPY","$20000 - 24999","MODERATE","STRONG DEMOCRAT","NOT LEGAL",NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
192,"39","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","9",NA,"0","CATHOLIC","PRETTY HAPPY","$15000 - 19999","MODERATE","INDEPENDENT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","DK","NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
193,"51","FEMALE","WHITE","GUATEMALAN","PACIFIC","2","0","0","CATHOLIC","VERY HAPPY","$25000 OR MORE","CONSERVATIVE","INDEPENDENT","NOT LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","DIVORCED","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",NA,NA,"VERY SATISFIED"
194,"40","FEMALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","8",NA,"6","CATHOLIC","VERY HAPPY","$25000 OR MORE","MODERATE","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
195,"32","MALE","WHITE","SALVADORIAN","PACIFIC","9","DK","12","CATHOLIC","PRETTY HAPPY","$20000 - 24999","MODERATE","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","NOT EASY",NA
196,"38","MALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","14",NA,"6","CATHOLIC","VERY HAPPY","$25000 OR MORE","LIBERAL","NOT STR DEMOCRAT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","MARRIED","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","NOT LIKELY","NOT EASY","VERY SATISFIED"
197,"79","FEMALE","WHITE","NOT HISPANIC","PACIFIC","13","6","8","PROTESTANT","VERY HAPPY","$20000 - 24999","CONSERVATIVE","STRONG DEMOCRAT","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL",NA,NA,NA
198,"49","MALE","OTHER","NOT HISPANIC","PACIFIC","16","18","18","PROTESTANT","VERY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","IND,NEAR REP",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
199,"22","MALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","15","13","13","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
200,"30","MALE","BLACK","NOT HISPANIC","PACIFIC","16","11","15","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY",NA
201,"47","MALE","WHITE","NOT HISPANIC","PACIFIC","15","12","14","NONE","PRETTY HAPPY","REFUSED","SLGHTLY CONSERVATIVE","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
202,"55","MALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","PACIFIC","12",NA,"0","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM","NOT LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","SEPARATED","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","DK","ONLY SOME","A GREAT DEAL","NOT LIKELY","NOT EASY","VERY SATISFIED"
203,"30","MALE","WHITE","PUERTO RICAN","PACIFIC","16","13","12","NONE","VERY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","HARDLY ANY","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL","NOT LIKELY","VERY EASY","MOD. SATISFIED"
204,"29","MALE","BLACK","NOT HISPANIC","PACIFIC","16",NA,"16","NONE","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","NOT LIKELY","NOT EASY","MOD. SATISFIED"
205,"37","MALE","WHITE","NOT HISPANIC","PACIFIC","16","16","12","NONE","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY",NA,NA,"VERY SATISFIED"
206,"67","FEMALE","WHITE","NOT HISPANIC","PACIFIC","20","14","20","JEWISH","PRETTY HAPPY","$20000 - 24999","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING PARTTIME","SELF-EMPLOYED","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME","NOT TOO LIKELY","NOT EASY","VERY SATISFIED"
207,"38","FEMALE","OTHER","SALVADORIAN","PACIFIC","16","12","15","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","NOT STR REPUBLICAN",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","SEPARATED",NA,NA,NA,NA,NA,NA,NA,NA,"FAIRLY LIKELY","VERY EASY",NA
208,"81","FEMALE","WHITE","NOT HISPANIC","PACIFIC","11","12","12","NONE","NOT TOO HAPPY","DK","MODERATE","IND,NEAR REP","NOT LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","WIDOWED","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
209,"35","MALE","BLACK","NOT HISPANIC","PACIFIC","14",NA,"12","NONE","PRETTY HAPPY","$20000 - 24999","MODERATE","IND,NEAR DEM","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","SEPARATED","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","NOT TOO LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
210,"46","MALE","WHITE","NOT HISPANIC","PACIFIC","20","17","17","ORTHODOX-CHRISTIAN","NOT TOO HAPPY","REFUSED","SLGHTLY CONSERVATIVE","IND,NEAR REP",NA,NA,"UNEMPL, LAID OFF","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"37","MALE","WHITE","NOT HISPANIC","PACIFIC","12","12","12","PROTESTANT","VERY HAPPY","$25000 OR MORE",NA,"INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","NOT LIKELY","VERY EASY","VERY SATISFIED"
212,"21","MALE","OTHER","GUATEMALAN","PACIFIC","15","5","6","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN",NA,NA,"SCHOOL",NA,NA,"NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"43","MALE","WHITE","NOT HISPANIC","PACIFIC","12","12","12","PROTESTANT","VERY HAPPY","DK","MODERATE",NA,NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY",NA
214,"45","FEMALE","WHITE","NOT HISPANIC","PACIFIC","16","18","12","PROTESTANT","VERY HAPPY","REFUSED","MODERATE","INDEPENDENT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED","A GREAT DEAL","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",NA,NA,"MOD. SATISFIED"
215,"76","FEMALE","WHITE","NOT HISPANIC","PACIFIC","19","8","17","PROTESTANT","VERY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","DIVORCED","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,NA
